dataset,model,grouping,n_runs,success_rate,original_ugf,epsilon,baseline_f1,baseline_ndcg,final_ugf_mean,final_ugf_std,final_ugf_median,final_ugf_min,final_ugf_max,final_ugf_ci_95_lower,final_ugf_ci_95_upper,final_ugf_q1,final_ugf_q3,final_ugf_iqr,final_ugf_cv_percent,final_f1_mean,final_f1_std,final_f1_median,final_f1_min,final_f1_max,final_f1_ci_95_lower,final_f1_ci_95_upper,final_f1_q1,final_f1_q3,final_f1_iqr,final_f1_cv_percent,final_ndcg_mean,final_ndcg_std,final_ndcg_median,final_ndcg_min,final_ndcg_max,final_ndcg_ci_95_lower,final_ndcg_ci_95_upper,final_ndcg_q1,final_ndcg_q3,final_ndcg_iqr,final_ndcg_cv_percent,cpu_time_mean,cpu_time_std,cpu_time_median,cpu_time_min,cpu_time_max,cpu_time_ci_95_lower,cpu_time_ci_95_upper,cpu_time_q1,cpu_time_q3,cpu_time_iqr,cpu_time_cv_percent,ugf_reduction_pct_mean,ugf_reduction_pct_std,ugf_reduction_pct_median,ugf_reduction_pct_min,ugf_reduction_pct_max,ugf_reduction_pct_ci_95_lower,ugf_reduction_pct_ci_95_upper,ugf_reduction_pct_q1,ugf_reduction_pct_q3,ugf_reduction_pct_iqr,ugf_reduction_pct_cv_percent
5Beauty-rand,biasedMF,0.05_count,30,100.0,0.17906931042671204,0.08953465521335602,0.1427162485830327,0.43246612215101154,0.08461524645487467,0.002862809830333639,0.08522951602935791,0.07873208075761795,0.08904067426919937,0.0835908031138861,0.08563968979586324,0.08206195384263992,0.08697385713458061,0.004911903291940689,3.3833262328915823,0.12915102746002446,0.0005980287955749124,0.12923092800271616,0.12815082647014014,0.13014205420813116,0.12893702560392678,0.12936502931612215,0.12870935160560504,0.12963481229293308,0.0009254606873280447,0.463046099853923,0.4149370180950011,0.0012131063328925335,0.4150487165180282,0.41223494806300603,0.4175242495357773,0.41450291356892505,0.41537112262107717,0.4140567436272495,0.41563047088094884,0.001573727253699364,0.29235914849486605,4.773538863325181,1.1342502606194853,5.287766699970234,2.875565900001675,6.390954399947077,4.36765262030821,5.179425106342153,3.202427424956113,5.534987175051356,2.3325597500952426,23.761203021386574,52.74720916748047,1.5987164694633678,52.40417671203613,50.27586364746094,56.032623291015625,52.17511582620547,53.31930250875547,51.43006134033203,54.17307662963867,2.7430152893066406,3.030902477488805
5Beauty-rand,biasedMF,sum_0.05,30,100.0,0.16750548779964447,0.08375274389982224,0.1427162485830327,0.43246612215101154,0.0795607884724935,0.0031710674956086002,0.08078541979193687,0.07208911329507828,0.08353928476572037,0.07842603654266556,0.08069554040232144,0.07748141884803772,0.08134827762842178,0.0038668587803840637,3.9857165275642434,0.130153415322231,0.0005906962628613268,0.1302737221865151,0.1290164032841275,0.13102547115210833,0.12994203737926627,0.1303647932651957,0.1297390193691397,0.13058285287146038,0.0008438335023206733,0.4538461487152634,0.41696455950573447,0.0010862595693495254,0.4168966613547018,0.41476791917611616,0.4188150338087685,0.4165758465110346,0.41735327250043436,0.4161971273098478,0.4178852077127526,0.0016880804029048013,0.2605160425713798,4.487260583330256,1.134659008040209,5.219489700044505,2.7515230999561027,5.5733146000420675,4.081228071927285,4.893293094733227,3.1511388999642804,5.401246800000081,2.2501079000358004,25.286229470500526,52.502577718098955,1.893113201642528,51.77147674560547,50.12743377685547,56.963134765625,51.825135859191334,53.180019577006576,51.43545341491699,53.74395179748535,2.3084983825683594,3.6057528676157253
5Beauty-rand,biasedMF,max_0.05,30,100.0,0.07454326748847961,0.03727163374423981,0.1427162485830327,0.43246612215101154,0.032223348319530484,0.0028546324095222583,0.031692586839199066,0.025610163807868958,0.03713709115982056,0.031201831230997783,0.033244865408063186,0.030683889985084534,0.03425023704767227,0.003566347062587738,8.858894430260289,0.13474126228343059,0.0006125431275515236,0.13466185893481358,0.13312756430014122,0.1362684753812369,0.1345220665403395,0.13496045802652168,0.13446938740951261,0.1351514701515223,0.0006820827420096764,0.4546069386399457,0.42134942305900697,0.0010391062396447196,0.42132451830246653,0.41822540390820756,0.42350903688950137,0.4209775836666364,0.42172126245137753,0.42081303876267484,0.42197406072187654,0.0011610219592017024,0.24661389876857626,2.6355021033319646,0.14254656134830307,2.5993575999164023,2.434076500008814,2.9992753999540582,2.584492471463728,2.686511735200201,2.575468350027222,2.7268222250859253,0.15135387505870312,5.408706036245879,56.77228914896647,3.829498184396724,57.48430633544922,50.18048858642578,65.6438980102539,55.401920823147286,58.14265747478566,54.05321216583252,58.83747863769531,4.784266471862793,6.745365109989473
5Beauty-rand,NCF,0.05_count,30,100.0,0.18186533451080322,0.09093266725540161,0.12439576125345435,0.3513127927164169,0.08711150089899698,0.00240853426989664,0.08691366016864777,0.08194775134325027,0.09088297188282013,0.08624961797956786,0.0879733838184261,0.08541619963943958,0.08928599767386913,0.00386979803442955,2.7648866625421356,0.11046078036385157,0.0007217259976959498,0.11034425693917464,0.10871138697054648,0.1117988410129193,0.11020251403245791,0.11071904669524522,0.1101148781717119,0.11100519929331407,0.0008903211216021722,0.6533776018226788,0.3353520173284397,0.001121654762986784,0.33542585600322733,0.3329913355705276,0.33768512303933296,0.3349506383263647,0.33575339633051476,0.3345942503030086,0.33609184823496685,0.00149759793195825,0.3344708560044978,5.565607519991075,1.0879588775498341,5.573185949935578,3.0089000000152737,8.101585699943826,5.176286435661339,5.954928604320811,5.45978884989745,5.704634950059699,0.24484610016224906,19.547890749428532,52.10109634399414,1.3243512499100245,52.20988082885742,50.027320861816406,54.94042205810547,51.6271833356187,52.575009352369584,50.90543270111084,53.03326988220215,2.1278371810913086,2.541887489595383
5Beauty-rand,NCF,sum_0.05,30,100.0,0.17133155465126038,0.08566577732563019,0.12439576125345435,0.3513127927164169,0.0823489656051,0.0028921254973293025,0.08329403400421143,0.07480726391077042,0.08563322573900223,0.0813140317874049,0.08338389942279509,0.08071842975914478,0.08460833318531513,0.003889903426170349,3.5120362181576557,0.11125853622921072,0.0006787584180292857,0.11125251155607147,0.10970796153004954,0.11246483197300679,0.11101564564873197,0.11150142680968948,0.1109769774876701,0.11165111631290799,0.0006741388252378827,0.6100731153166825,0.3370473099983467,0.0010409994436540212,0.3370727071890229,0.33458425301516376,0.33887787333162755,0.33667479313162213,0.33741982686507127,0.33624725313100234,0.33768020929844655,0.0014329561674442104,0.3088585527233929,5.719215883337893,0.9300569139587933,5.561282799986657,2.948983100010082,7.825445499969646,5.3863992909991625,6.052032475676623,5.454543600033503,5.698202274943469,0.24365867490996607,16.261965502445527,51.93590265909831,1.6880279873930688,51.384300231933594,50.01900100708008,56.33771896362305,51.33184960158676,52.53995571660986,50.617194175720215,52.88758850097656,2.2703943252563477,3.250214015674481
5Beauty-rand,NCF,max_0.05,30,100.0,0.08386494964361191,0.041932474821805954,0.12439576125345435,0.3513127927164169,0.03911521732807159,0.001973380493622488,0.039243701845407486,0.03344909846782684,0.041767679154872894,0.03840905218761842,0.03982138246852476,0.0380390640348196,0.04067523591220379,0.002636171877384186,5.045045453975437,0.11567492382293838,0.000634836537709612,0.11583923477983495,0.11378213473285362,0.11672038489854031,0.11544775048547745,0.11590209716039931,0.1154579184807509,0.11600366931929658,0.000545750838545675,0.5488108543571166,0.34130260068322865,0.000876387978464873,0.34125402702200924,0.33953151405360144,0.34338333327169035,0.3409889892728067,0.3416162120936506,0.3408026441915736,0.3418978094188919,0.0010951652273183399,0.25677741004917515,2.953725710002861,0.4333504653182117,2.875444199948106,2.588908400037326,5.11014719994273,2.7986532375648996,3.108798182440822,2.86395400002948,3.008850274985889,0.1448962749564089,14.671317104721682,53.359279251098634,2.3530460571847125,53.20607376098633,50.19649887084961,60.11552047729492,52.517252533577775,54.201305968619494,51.499125480651855,54.642476081848145,3.143350601196289,4.409816043638305
5Grocery-rand,biasedMF,0.05_count,30,100.0,0.22619609534740448,0.11309804767370224,0.15783644300728306,0.45077226310809587,0.10836544483900071,0.002978471624987807,0.10882359743118286,0.10108789801597595,0.11263707280158997,0.10729961245634938,0.10943127722165204,0.10635144263505936,0.1111842729151249,0.0048328302800655365,2.748543716507548,0.14346795836877824,0.0009082630302219633,0.1436487407158617,0.14195923089361473,0.14511416609485572,0.1431429406175752,0.14379297611998126,0.142674281659722,0.1441100317838459,0.0014357501241238912,0.6330772672510695,0.44054134103238857,0.0012210287928734443,0.4406345647665267,0.4379559477584471,0.44298521502434735,0.44010440149041813,0.440978280574359,0.43947992521009044,0.4412883585477785,0.0018084333376880424,0.2771655413796169,3.813213463317758,0.8608423367351797,3.8643160999636166,1.9865319000091404,5.481849099975079,3.505164989344685,4.121261937290831,3.697551374993054,3.9616664999048226,0.26411512491176836,22.5752464428306,52.09225616455078,1.316764719703262,51.88970756530762,50.203792572021484,55.30961608886719,51.62105796114393,52.56345436795763,50.846068382263184,52.98263645172119,2.136568069458008,2.5277552109546204
5Grocery-rand,biasedMF,sum_0.05,30,100.0,0.19704808294773102,0.09852404147386551,0.15783644300728306,0.45077226310809587,0.0941443219780922,0.003010307597920517,0.09526162594556808,0.08780358731746674,0.09842328727245331,0.09306709723883749,0.0952215467173469,0.09154913201928139,0.09612852707505226,0.004579395055770874,3.19754557117213,0.1447623698249917,0.0009951775803617906,0.14485160915123396,0.14229371678964683,0.14644892422530578,0.14440625010145983,0.14511848954852355,0.14424481160748912,0.1454831074200439,0.0012382958125547738,0.6874559884346296,0.44087088325305157,0.001424043390425269,0.4409752611669028,0.43660007159850384,0.44352704788107455,0.4403612958703542,0.4413804706357489,0.43989272781426936,0.4416467594635629,0.0017540316492935526,0.32300690395285075,3.4953305999942432,1.033686760893808,3.7715268500032835,2.0051370000001043,5.2836895999498665,3.1254305431880645,3.865230656800422,2.1964740499970503,3.8726255249930546,1.6761514749960043,29.573361698475974,52.222665278116864,1.5277016348738783,51.6556453704834,50.05112838745117,55.440528869628906,51.67598426903234,52.76934628720139,51.21570014953613,53.539700508117676,2.324000358581543,2.9253612904242923
5Grocery-rand,biasedMF,max_0.05,30,100.0,0.09046103060245514,0.04523051530122757,0.15783644300728306,0.45077226310809587,0.04173303743203481,0.0022852549672360534,0.0425218790769577,0.036263078451156616,0.04476000368595123,0.04091526944450028,0.04255080541956934,0.04022790119051933,0.0435156412422657,0.0032877400517463684,5.475889386095494,0.14823448394243238,0.0009005361968685774,0.1483714838907213,0.14665002446581088,0.1500627437178546,0.14791223120303415,0.14855673668183061,0.14744506260669815,0.14883363696871188,0.001388574362013728,0.6075078975674143,0.44020369079533156,0.0013418072707582775,0.4402862054368429,0.43761620031637105,0.443194774542059,0.4397235312301193,0.4406838503605438,0.43933625163021206,0.44124499296460973,0.0019087413343976678,0.30481508874539126,1.8769830233456257,0.13779815516065214,1.856986350088846,1.5939281000755727,2.184177599963732,1.8276725868090895,1.926293459882162,1.7911802499729674,1.978295875043841,0.18711562507087365,7.341470511280066,53.866280746459964,2.5262311675099727,52.9942569732666,50.52012634277344,59.91304016113281,52.962280533126986,54.77028095979294,51.89570331573486,55.530131340026855,3.634428024291992,4.689819182802952
5Grocery-rand,NCF,0.05_count,30,100.0,0.23504909873008728,0.11752454936504364,0.14507261717762815,0.38864972748782967,0.11357625052332879,0.0028013598601745347,0.11405564472079277,0.10708778351545334,0.11721113324165344,0.11257379677175214,0.11457870427490544,0.11175576597452164,0.11582689546048641,0.004071129485964775,2.466501444858958,0.12930650098343696,0.000841854259437893,0.12935930356644876,0.12751765827675518,0.13080615457685968,0.12900524730566001,0.1296077546612139,0.12878537950682847,0.12989277939582222,0.0011073998889937486,0.651053313665743,0.37692559520147473,0.0008851350404687741,0.3767342584780924,0.37563522929721616,0.3795306820019738,0.3766088536951141,0.37724233670783536,0.3764172850023969,0.37740214806054784,0.000984863058150931,0.23483017649561597,4.675562000003023,0.820428118672246,4.618503400008194,3.7480776000302285,5.666972000035457,4.38197556822959,4.969148431776455,3.8750932249822654,5.4533550499763805,1.5782618249941152,17.54715515849679,51.679775619506835,1.1918196218965962,51.4758186340332,50.13334274291992,54.44024658203125,51.25328844513201,52.10626279388166,50.72225475311279,52.4542875289917,1.7320327758789062,2.306162531879757
5Grocery-rand,NCF,sum_0.05,30,100.0,0.20346835255622864,0.10173417627811432,0.14507261717762815,0.38864972748782967,0.09725195889671644,0.0036933057636132902,0.09834561124444008,0.09042107313871384,0.10170891880989075,0.09593032640276647,0.0985735913906664,0.09452129900455475,0.10046528279781342,0.005943983793258667,3.797667219778736,0.1305570013260389,0.000843437026721217,0.1306169945461576,0.12851449714530902,0.13223772110464752,0.13025518126226363,0.13085882138981417,0.13001248781068178,0.13108997321813115,0.001077485407449369,0.6460297174066588,0.37761975658973673,0.0013677716486309428,0.3777316508450511,0.37391504352761645,0.380270311341129,0.37713030579122886,0.3781092073882446,0.3771485776298123,0.37848171999201274,0.0013331423622004457,0.36220870988933773,4.095334370007428,0.8250655129779021,3.927905099990312,2.1912046000361443,5.573920599999838,3.800088467994083,4.390580272020772,3.859356700006174,3.9795324499718845,0.12017574996571057,20.146474950137115,52.20290641784668,1.8151739136628335,51.665401458740234,50.01241683959961,55.56013107299805,51.55335477495207,52.852458060741284,50.623634338378906,53.54496383666992,2.9213294982910156,3.4771510596242927
5Grocery-rand,NCF,max_0.05,30,100.0,0.08861669898033142,0.04430834949016571,0.14507261717762815,0.38864972748782967,0.04035957256952922,0.0025712653252481753,0.039950937032699585,0.03480848670005798,0.0437636524438858,0.03943945708981595,0.04127968804924249,0.03914893418550491,0.04287084937095642,0.0037219151854515076,6.370893350811739,0.13693075221846493,0.0008767907692348842,0.136827929792948,0.13523614968873265,0.13913998323164098,0.13661699667121704,0.13724450776571281,0.13648745130010237,0.1374927801000871,0.0010053287999847171,0.6403169156888997,0.38178217945609005,0.0010667561815629475,0.3816374321188519,0.3796611951230505,0.3843620346278149,0.38140044565907666,0.38216391325310345,0.381130666272141,0.3824697669398285,0.0013391006676874984,0.27941487030188594,1.9304003966661791,0.11184089892772776,1.8990324000478722,1.706395999994129,2.112124799983576,1.8903786449791895,1.9704221483531688,1.8728955250116996,2.0089659499644767,0.1360704249527771,5.793663279435609,54.4560188293457,2.9015582488931546,54.917144775390625,50.61466598510742,60.72016906738281,53.417709544854176,55.49432811383723,51.62215518951416,55.82217311859131,4.200017929077148,5.328259963303706
5Health-rand,biasedMF,0.05_count,30,100.0,0.2092568576335907,0.10462842881679535,0.1392131804797608,0.41369590069770473,0.0993525577088197,0.0031651201195929198,0.09907104820013046,0.09371728450059891,0.10449379682540894,0.09821993402016624,0.10048518139747317,0.09708995185792446,0.10208998247981071,0.005000030621886253,3.1857459863984423,0.1240327690166463,0.0007730825433990223,0.12414614498773877,0.122078462447164,0.12530182173552415,0.12375612498139534,0.12430941305189726,0.12382101095596632,0.12459108550562027,0.0007700745496539568,0.6232889497897671,0.396626678105086,0.0011997067125660138,0.396429443401373,0.39459964702550493,0.39994005584825965,0.39619736857156235,0.39705598763860966,0.39588005830459083,0.39745223217520226,0.0015721738706114263,0.30247756361163186,11.97538702666449,2.3616698223674844,12.052855200017802,5.681446000002325,14.887027299962938,11.130274334405762,12.82049971892322,10.2323654750071,14.095133624970913,3.862768149963813,19.72103128783205,52.521241124471025,1.5125520841887492,52.65576934814453,50.06433868408203,55.2142333984375,51.979981312475424,53.06250093646663,51.21307563781738,53.60249710083008,2.3894214630126953,2.8798864074901145
5Health-rand,biasedMF,sum_0.05,30,100.0,0.20729757845401764,0.10364878922700882,0.1392131804797608,0.41369590069770473,0.09930564140280088,0.0031421773364375353,0.09995758906006813,0.09292670339345932,0.1034417524933815,0.09818122768365996,0.1004300551219418,0.09733017720282078,0.1018303632736206,0.004500186070799828,3.164147869195386,0.12457419166104683,0.0008236013297931926,0.12475457176144372,0.12287538635520265,0.12592342744980073,0.12427946971025709,0.12486891361183657,0.1239833791069414,0.12521643629596163,0.0012330571890202258,0.6611331920452067,0.3966140748977175,0.0010545345064439703,0.3967267471639474,0.3940898047401297,0.39822496777891686,0.3962367145709775,0.3969914352244575,0.39601241205906934,0.3973744059832206,0.0013619939241512613,0.2658842873178224,11.18841449333122,2.4820888118312285,10.242951249994803,5.640342199942097,14.59644820005633,10.300210419110062,12.076618567552377,9.960483450005995,13.852030899957754,3.8915474499517586,22.1844552980287,52.0951281229655,1.515781475613336,51.780630111694336,50.09987258911133,55.17231750488281,51.55271268809013,52.637543557840864,50.877206802368164,53.048089027404785,2.170882225036621,2.909641515873578
5Health-rand,biasedMF,max_0.05,30,100.0,0.08808045089244843,0.04404022544622421,0.1392131804797608,0.41369590069770473,0.0397888109087944,0.0025243720307905767,0.039688751101493835,0.03549434244632721,0.04379148781299591,0.03888547597899231,0.0406921458385965,0.03779660537838936,0.04212574288249016,0.0043291375041007996,6.3444269208674,0.12996260727499723,0.0007109083453041545,0.13020192778410716,0.127948254884856,0.13110895517739052,0.1297082119907966,0.13021700255919785,0.12965381163786377,0.1303832277804271,0.0007294161425633328,0.5470099132436551,0.40155731827014185,0.0010878308410727786,0.40152064251699354,0.398255746489719,0.40336460041820205,0.401168043003077,0.4019465935372067,0.4010772767685273,0.4022095452664183,0.001132268497890998,0.27090300477127804,5.242328476665231,0.26806877354780667,5.193137950031087,4.641134799923748,5.709832500084303,5.146401298031778,5.338255655298685,5.163180149975233,5.422307900007581,0.25912775003234856,5.113544005131314,54.82674039204915,2.8659847511870025,54.94034004211426,50.28240203857422,59.702362060546875,53.8011609202244,55.85231986387391,52.173561096191406,57.08854103088379,4.914979934692383,5.227348426503613
5Health-rand,NCF,0.05_count,30,100.0,0.21480430662631989,0.10740215331315994,0.12201065692804258,0.33546682264192407,0.1043667974571387,0.002365881125041544,0.10466201603412628,0.09916755557060242,0.10730458796024323,0.1035201777695722,0.1052134171447052,0.10323130339384079,0.10646361671388149,0.003232313320040703,2.2668906037987444,0.10592566474827907,0.0007675584142791965,0.10588651713157793,0.10471525198274205,0.10745766719758106,0.10565099749724605,0.10620033199931209,0.10529205022788796,0.10654531787470167,0.001253267646813716,0.7246198700789053,0.31875792650938073,0.0009618011071129631,0.31857897872232144,0.31698735829563784,0.32104541844745627,0.3184137504034106,0.3191021026153509,0.31820057977587046,0.3192887176172445,0.001088137841374015,0.30173402043530306,14.736688426672481,1.8193079128095149,14.629433900001459,10.305809500045143,19.692400000058115,14.085657451182119,15.387719402162844,14.359030199964764,14.874707974988269,0.5156777750235051,12.345432434580633,51.41308008829753,1.1014123364156394,51.275644302368164,50.04541778564453,53.833534240722656,51.018944745541575,51.80721543105348,50.43692970275879,51.94169521331787,1.504765510559082,2.142280397369811
5Health-rand,NCF,sum_0.05,30,100.0,0.21573619544506073,0.10786809772253036,0.12201065692804258,0.33546682264192407,0.10427128151059151,0.0029378042312347918,0.1051345244050026,0.09795310348272324,0.10776295512914658,0.10322000176789697,0.10532256125328604,0.10169774852693081,0.10678769275546074,0.00508994422852993,2.817462477370991,0.10668449551982544,0.0008681238720745991,0.10682025852662619,0.10480302460007279,0.1086113106028422,0.10637384138189536,0.10699514965775551,0.10607726641207862,0.10733076124526868,0.0012534948331900525,0.8137301187437058,0.31988186175407135,0.0012834645770529965,0.31991807047195076,0.3175115570822306,0.32334117661095735,0.31942257985367234,0.32034114365447036,0.3190356709473662,0.32070006916909183,0.0016643982217256492,0.40123080752848,14.006839233334176,1.989128149889553,14.558229849964846,9.984790100017563,18.33967770007439,13.295038866458333,14.71863960021002,14.054690400051186,14.732571475004079,0.677881074952893,14.201120729334328,51.667228571573894,1.3617573985651121,51.26708984375,50.04874038696289,54.59588623046875,51.17992994481203,52.15452719833576,50.500800132751465,52.86013698577881,2.3593368530273438,2.635630817082996
5Health-rand,NCF,max_0.05,30,100.0,0.09477066993713379,0.047385334968566895,0.12201065692804258,0.33546682264192407,0.04488222301006317,0.0019775048928147784,0.045437902212142944,0.040409162640571594,0.0473770797252655,0.044174581972313796,0.045589864047812546,0.043060578405857086,0.046462420374155045,0.0034018419682979584,4.405986959182918,0.11222480604106723,0.000617746154295814,0.11233705313706624,0.11070987794960563,0.11343788704367373,0.11200374841876758,0.11244586366336688,0.11179368661585352,0.1125747267313611,0.0007810401155075725,0.5504541964365327,0.3243327086266433,0.0010021889402945362,0.3242014136004612,0.32248516625514057,0.3258328278349891,0.32397407992018207,0.32469133733310457,0.3234616331247737,0.3253555681972387,0.0018939350724649917,0.3090002684398413,7.330239159998018,2.102519076253823,5.718609700037632,4.917646900052205,10.070944700040855,6.5778623712405775,8.082615948755459,5.44167825000477,9.495418974925997,4.0537407249212265,28.68281689535477,52.64123039245605,2.086620946215186,52.054887771606445,50.00870895385742,57.361106872558594,51.894542676468895,53.38791810844321,50.97383975982666,54.56338882446289,3.5895490646362305,3.9638529165424243
