dataset,model,grouping,n_runs,success_rate,original_ugf,original_ugf_ndcg,epsilon,baseline_f1,baseline_ndcg,baseline_g1_f1,baseline_g2_f1,baseline_g1_ndcg,baseline_g2_ndcg,final_ugf_mean,final_ugf_std,final_ugf_median,final_ugf_min,final_ugf_max,final_ugf_ci_95_lower,final_ugf_ci_95_upper,final_ugf_q1,final_ugf_q3,final_ugf_iqr,final_ugf_cv_percent,final_f1_mean,final_f1_std,final_f1_median,final_f1_min,final_f1_max,final_f1_ci_95_lower,final_f1_ci_95_upper,final_f1_q1,final_f1_q3,final_f1_iqr,final_f1_cv_percent,final_ndcg_mean,final_ndcg_std,final_ndcg_median,final_ndcg_min,final_ndcg_max,final_ndcg_ci_95_lower,final_ndcg_ci_95_upper,final_ndcg_q1,final_ndcg_q3,final_ndcg_iqr,final_ndcg_cv_percent,cpu_time_mean,cpu_time_std,cpu_time_median,cpu_time_min,cpu_time_max,cpu_time_ci_95_lower,cpu_time_ci_95_upper,cpu_time_q1,cpu_time_q3,cpu_time_iqr,cpu_time_cv_percent,ugf_reduction_pct_mean,ugf_reduction_pct_std,ugf_reduction_pct_median,ugf_reduction_pct_min,ugf_reduction_pct_max,ugf_reduction_pct_ci_95_lower,ugf_reduction_pct_ci_95_upper,ugf_reduction_pct_q1,ugf_reduction_pct_q3,ugf_reduction_pct_iqr,ugf_reduction_pct_cv_percent,final_ugf_ndcg_mean,final_ugf_ndcg_std,final_ugf_ndcg_median,final_ugf_ndcg_min,final_ugf_ndcg_max,final_ugf_ndcg_ci_95_lower,final_ugf_ndcg_ci_95_upper,final_ugf_ndcg_q1,final_ugf_ndcg_q3,final_ugf_ndcg_iqr,final_ugf_ndcg_cv_percent,ugf_ndcg_reduction_pct_mean,ugf_ndcg_reduction_pct_std,ugf_ndcg_reduction_pct_median,ugf_ndcg_reduction_pct_min,ugf_ndcg_reduction_pct_max,ugf_ndcg_reduction_pct_ci_95_lower,ugf_ndcg_reduction_pct_ci_95_upper,ugf_ndcg_reduction_pct_q1,ugf_ndcg_reduction_pct_q3,ugf_ndcg_reduction_pct_iqr,ugf_ndcg_reduction_pct_cv_percent,final_g1_f1_mean,final_g1_f1_std,final_g1_f1_median,final_g1_f1_min,final_g1_f1_max,final_g1_f1_ci_95_lower,final_g1_f1_ci_95_upper,final_g1_f1_q1,final_g1_f1_q3,final_g1_f1_iqr,final_g1_f1_cv_percent,final_g2_f1_mean,final_g2_f1_std,final_g2_f1_median,final_g2_f1_min,final_g2_f1_max,final_g2_f1_ci_95_lower,final_g2_f1_ci_95_upper,final_g2_f1_q1,final_g2_f1_q3,final_g2_f1_iqr,final_g2_f1_cv_percent,final_g1_ndcg_mean,final_g1_ndcg_std,final_g1_ndcg_median,final_g1_ndcg_min,final_g1_ndcg_max,final_g1_ndcg_ci_95_lower,final_g1_ndcg_ci_95_upper,final_g1_ndcg_q1,final_g1_ndcg_q3,final_g1_ndcg_iqr,final_g1_ndcg_cv_percent,final_g2_ndcg_mean,final_g2_ndcg_std,final_g2_ndcg_median,final_g2_ndcg_min,final_g2_ndcg_max,final_g2_ndcg_ci_95_lower,final_g2_ndcg_ci_95_upper,final_g2_ndcg_q1,final_g2_ndcg_q3,final_g2_ndcg_iqr,final_g2_ndcg_cv_percent
5Beauty-rand,biasedMF,0.05_count,30,100.0,0.17906931042671204,0.2678780785553523,0.08953465521335602,0.1427162485830327,0.43246612215101154,0.30676892629900515,0.12769961568186589,0.6778801237851304,0.4100020452297781,0.08610971190662019,0.0027996542102595645,0.08697203215049612,0.07982408361164245,0.08910975281209756,0.08510786851402685,0.08711155529921352,0.08571621857896715,0.08794192296739961,0.0022257043884324618,3.251264170173498,0.12782582928463418,0.0004538661304077174,0.127764072780302,0.12687523981164894,0.12867288958406617,0.1276634153757291,0.12798824319353927,0.12747084992047458,0.12812254542829188,0.0006516955078172959,0.3550660558572071,0.41437782733651785,0.001154290607595703,0.41468157317918286,0.4119421649679414,0.41600838633774356,0.4139647697474361,0.41479088492559957,0.41358806892632693,0.4153028840739448,0.001714815147617843,0.27855993526851985,5.137758896670615,0.16124663228999536,5.049940000055358,4.953142500016838,5.42483440018259,5.080057530356994,5.195460262984236,5.024251825059764,5.333794974896591,0.30954314983682707,3.1384624217085557,51.91263555914433,1.5634472504462917,51.43107886926761,50.23728376473107,55.42280057848764,51.3531631458056,52.47210797248305,50.889450147633355,52.13237914709659,1.2429289994632384,3.011689222877248,0.17032724657090756,0.00931102269369313,0.1668298959442769,0.15841755323478818,0.1924683082113321,0.16699533989122578,0.17365915325058934,0.16367394298446947,0.17822118511461799,0.014547242130148519,5.466549175863612,36.416130991580026,3.4758434672619805,37.7217065151509,28.15078066510698,40.86206900948262,35.17231638097414,37.659945602185914,33.46929092677073,38.899836870881124,5.430545944110392,9.544790653531122,0.20671443820900398,0.002825598561729944,0.20778675105081612,0.20028635359628152,0.20986233672902577,0.20570331074947107,0.2077255656685369,0.20670676581010164,0.20863452697871124,0.0019277611686095986,1.3669091458783589,0.1206047263023838,0.000389005769561633,0.12057803401550078,0.1198597852595057,0.12129325834773404,0.1204655223755246,0.12074393022924299,0.12031197253643429,0.12085657209568418,0.0005445995592498892,0.3225460406802848,0.5704215446638777,0.009199937446441533,0.5667212743651382,0.5583685743706905,0.5922640609075824,0.5671293893294034,0.5737136999983521,0.5637466498910169,0.5787567463766781,0.015010096485661206,1.6128313406995554,0.4000942980929701,0.0009884789346580602,0.40000428893212503,0.39784519537169694,0.40194767945104054,0.3997405754490179,0.40044802073692226,0.39960513710063306,0.4008007627839424,0.0011956256833093315,0.24706149009610903
5Beauty-rand,biasedMF,sum_0.05,30,100.0,0.16750548779964447,0.24546618433740552,0.08375274389982224,0.1427162485830327,0.43246612215101154,0.2975891189782004,0.13008365342711867,0.6594202243841123,0.4139540400467068,0.08050095218737326,0.0026654160523652197,0.08108019633267585,0.07459742178331479,0.083517111721587,0.07954714530265561,0.0814547590720909,0.07913219522399002,0.08261538651066233,0.0034831912866723075,3.3110366771329893,0.1290090011753953,0.0005341352984485927,0.12905069745183995,0.12776579374390606,0.12997631470194826,0.12881786331360487,0.12920013903718572,0.12873386968219014,0.12936658320219396,0.0006327135200038247,0.4140294813401465,0.4158112620592473,0.0011307090506450243,0.4155947569890778,0.4140843639784128,0.41802709695003637,0.41540664302194513,0.41621588109654944,0.41486013080217476,0.4166716993211058,0.0018115685189310504,0.2719284333582851,5.304543349977272,0.37126007670534056,5.1507476000115275,4.785928099881858,6.437880200101063,5.171689637751697,5.437397062202846,5.0959933999110945,5.3532516999403015,0.257258300029207,6.998907393356137,51.941304583607725,1.5912410317883798,51.595498513065465,50.1406713184926,55.46568487801322,51.37188629334938,52.51072287386607,50.678997090841776,52.75844614796078,2.0794490571190067,3.063536899091601,0.15877190666755545,0.007617379544892744,0.15819430388700328,0.14602308046133938,0.17400465348973299,0.15604606240508886,0.16149775093002203,0.1531602904840952,0.16384247385268252,0.010682183368587311,4.797687263932904,35.31821619497881,3.1032297036981173,35.553524688534154,29.112576561439962,40.51193615303713,34.207739707219595,36.428692682738024,33.25252751414718,37.60432179384483,4.35179427969765,8.786484817257852,0.20343889212722596,0.0028247825262393365,0.20369598987978127,0.19709238560242492,0.20697464090037213,0.20242805668224306,0.20444972757220886,0.2022910146037275,0.20581373931966593,0.0035227247159384245,1.3885164713110918,0.12293793993985273,0.00043988751087166894,0.12301361652433826,0.1220100327002123,0.12371853633543144,0.12278052821570618,0.12309535166399929,0.12263580037834201,0.12324568725647458,0.0006098868781325706,0.3578126582297405,0.5626092238022884,0.007651932500055592,0.5617686523685943,0.5491188653370044,0.577297052057808,0.559871014923614,0.5653474326809628,0.5572175801722166,0.568675223579389,0.01145764340717248,1.3600794612540208,0.4038373171347329,0.0009913702077114454,0.40384302702812824,0.4017203305045149,0.4055516540032337,0.4034825598620062,0.40419207440745963,0.40328460956829526,0.40463736760316166,0.001352758034866397,0.24548751827724052
5Beauty-rand,biasedMF,max_0.05,30,100.0,0.07454326748847961,0.10959180784504047,0.03727163374423981,0.1427162485830327,0.43246612215101154,0.21309819621765005,0.13855492662269456,0.5359400497482879,0.42634824190324744,0.03347726669950531,0.0024970348760983197,0.033708151452708876,0.029224834888799095,0.03716816506448731,0.03258371424487475,0.034370819154135875,0.031773330750174106,0.035591613013844725,0.0038182822636706193,7.458897103254902,0.13391220614346325,0.0005419918072658863,0.13387790549265283,0.13277811376035098,0.1352261734857795,0.1337182568660992,0.1341061554208273,0.13360594701841802,0.1342558102878747,0.0006498632694566797,0.404736672536959,0.42067949655316567,0.0011905605781775087,0.42074673434178467,0.41762120632874616,0.4227703800985941,0.42025345992179947,0.42110553318453187,0.4199758939068077,0.42146433630413127,0.0014884423973235972,0.2830089386177263,4.29071385001298,0.14420245905940532,4.318668349995278,3.977061599958688,4.684548399876803,4.23911166275894,4.342316037267021,4.282742574985605,4.344503375003114,0.06176080001750961,3.3608034490337566,55.09015391003741,3.349779209080455,54.78042137350855,50.13880352074517,60.79480297356742,53.89145081486029,56.288857005214524,52.253752467524606,57.37598871006754,5.122236242542932,6.080540661677342,0.05145444774035132,0.00799654524120807,0.051546484096346296,0.028480384009750004,0.07062407725513431,0.04859292077601409,0.054315974704688554,0.04872843780346969,0.05570130274600971,0.0069728649425400135,15.541018497681907,53.04900178934324,7.2966633167644686,52.96502073473277,35.557156466480926,74.01230569166228,50.43792435517649,55.66007922350998,49.173844431173464,55.53642305785279,6.362578626679323,13.754572321152065,0.16552062960808347,0.002622071855129128,0.16534603446378243,0.16076918923782604,0.1696168202601136,0.1645823332451471,0.16645892597101986,0.16373548834246035,0.16759590747686806,0.003860419134407711,1.5841359843408152,0.1320433629085782,0.0005026917604143359,0.13202526931880826,0.13109974934624682,0.13324602481167627,0.13186347697236628,0.13222324884479014,0.13183038532751287,0.1322847921184446,0.0004544067909317273,0.38070202798635205,0.46926153844785917,0.008025298536258857,0.46948470028008993,0.4465927310628108,0.487082962363108,0.46638972224903136,0.472133354646687,0.4654354899901295,0.47378212369248196,0.008346633702352446,1.7101973800800994,0.4178070907075078,0.0011238088808446767,0.41789170907835316,0.4148901720593742,0.4198971170698739,0.41740494086425717,0.4182092405507585,0.4173876597713147,0.41844878549320447,0.0010611257218897663,0.2689779340368869
5Beauty-rand,NCF,0.05_count,30,100.0,0.18186533451080322,0.29064004431304624,0.09093266725540161,0.12439576125345435,0.3513127927164169,0.2910099643222957,0.1091446580197907,0.6175799568481166,0.3269399125350704,0.08839842960595462,0.002312817179889543,0.08918651638573352,0.08045842684016169,0.09085106635055964,0.08757079860729144,0.0892260606046178,0.08760493928574992,0.08977227308149668,0.0021673337957467675,2.6163555056341736,0.10943833215659385,0.00043352825946238086,0.10944011557134864,0.10830452153369514,0.11019172643848436,0.1092831960613385,0.1095934682518492,0.10923312070437549,0.10972372396380722,0.0004906032594317322,0.39613931510035355,0.3346910844520912,0.0009721394258782515,0.33465584726466546,0.33265099622491096,0.3368129849468638,0.3343432088262634,0.33503896007791906,0.3340120142949511,0.3353213207007335,0.0013093064057824177,0.2904587158243848,5.366068290011026,0.15624008985678378,5.295139850000851,5.214668500004336,5.730285400059074,5.310158491898246,5.421978088123806,5.256964600004721,5.501037574897055,0.24407297489233315,2.91163066537237,51.39346932512664,1.2717196414098135,50.960133977354744,50.04486886138112,55.75933860260639,50.93839029597058,51.8485483542827,50.63805132353906,51.82977584958833,1.1917245260492706,2.4744771234738585,0.2020957225471667,0.00860174941528696,0.20172776720213798,0.17538675268864318,0.22225005424500432,0.19901762605051046,0.20517381904382295,0.19738635975037103,0.20636755781032626,0.008981198059955231,4.256274851774468,30.465286356242466,2.9595885300726414,30.591888093418234,23.530821511429295,39.654993824685974,29.406211202324297,31.524361510160634,28.995483640909,32.08562838719924,3.0901447462902425,9.714625674169017,0.19042372844121952,0.0024170081213790748,0.19118516895049548,0.18247654178360617,0.19297986233927716,0.1895588131929812,0.19128864368945783,0.18945414268723526,0.19198924874292844,0.0025351060556931815,1.269278855720527,0.10202529883526494,0.0003449362509304852,0.10200272501367658,0.10103503711344679,0.10274538908607435,0.10190186498311482,0.10214873268741506,0.10187682820756465,0.10213483215871058,0.00025800395114593255,0.33808893957511094,0.5198391945584225,0.008374875492734699,0.519299468135934,0.4943597706595056,0.5389418749723899,0.5168422838522928,0.5228361052645523,0.5162169130556585,0.524303903892451,0.00808699083679243,1.6110511828275547,0.3177434720112559,0.0009034153674202258,0.31773301775409324,0.3157288513430654,0.31985475043284645,0.3174201889739078,0.31806675504860404,0.31715725965458064,0.3180060486696645,0.0008487890150838395,0.28432224325547206
5Beauty-rand,NCF,sum_0.05,30,100.0,0.17133155465126038,0.2689193498061014,0.08566577732563019,0.12439576125345435,0.3513127927164169,0.28280619132515533,0.11147461614608979,0.599951316075956,0.3310319662698546,0.08222098864744415,0.002384608041211265,0.08295228988697712,0.0772854586537366,0.08563983657486629,0.0813676676189908,0.0830743096758975,0.08039946426566591,0.08397364428620305,0.0035741800205371377,2.9002424811944794,0.11020785991967517,0.00053457016306909,0.1101476856140263,0.1092921976488189,0.111659966755206,0.11001656644357884,0.11039915339577151,0.10986096988309918,0.11044805087952984,0.0005870809964306639,0.48505629585649396,0.3362558793993608,0.0010247882174503219,0.33626941747742484,0.3343886369492953,0.338070752145794,0.33588916364543026,0.33662259515329135,0.33559397232371246,0.3369246610099619,0.001330688686249415,0.3047644012294614,5.30613501999372,0.15711124639689858,5.249854550114833,4.915246699936688,5.706995999906212,5.249913482516688,5.3623565574707515,5.236723349895328,5.315211900160648,0.07848855026531965,2.960935705648224,52.01059792237209,1.3918090255265896,51.5837639739955,50.01514067319164,54.891287357399776,51.51254545901223,52.508650385731954,50.987636540666095,53.073755485779415,2.08611894511332,2.6760104308047383,0.19102489239740508,0.006374757732632989,0.19068440899099226,0.18078963373716922,0.20193954927737573,0.18874371463965994,0.19330607015515022,0.1857462030698563,0.19681036422765266,0.011064161157796348,3.337134575828498,28.965731720257548,2.3705091274500596,29.09234343736097,24.907021594771823,32.77180170652511,28.117455923298373,29.814007517216723,26.814353682783103,30.92865827476353,4.114304591980428,8.183839960763754,0.18622806903144842,0.0025073190540514942,0.18664709519294165,0.1812909497809356,0.1904061914309591,0.18533083643100096,0.1871253016318959,0.1842562523266618,0.18807084688174552,0.0038145945550837335,1.3463701079497754,0.10400708038400433,0.0004744790686567338,0.10400269869228389,0.10318666479192617,0.10531125866925539,0.103837290229879,0.10417687053812966,0.10367004352773099,0.10413952138614015,0.0004694778584091591,0.4561988154122879,0.5128744351293659,0.006128150710145604,0.5125194899509113,0.5022109716811655,0.5229316267830089,0.5106815045612704,0.5150673656974615,0.5071524252368327,0.518785381656433,0.011632956419600271,1.194863750344635,0.3218495427319608,0.0010664746562444264,0.32168402114853545,0.3201423028506216,0.32427876271942246,0.32146790967748884,0.3222311757864328,0.3209879543255333,0.32256646939165373,0.001578515066120445,0.3313581393317672
5Beauty-rand,NCF,max_0.05,30,100.0,0.08386494964361191,0.12488679863850982,0.041932474821805954,0.12439576125345435,0.3513127927164169,0.2035790131692412,0.11971406351472792,0.4692278797496455,0.3443410811111357,0.039206616284999225,0.0022515338930070806,0.039653021166900504,0.0343412689539329,0.04170596734158742,0.03840091522890346,0.04001231734109499,0.03859890455866799,0.041182649862957485,0.0025837453042894948,5.7427396351685065,0.11512379991264442,0.0005988442005048105,0.11513921861723211,0.11413244774566483,0.1163112640310211,0.11490950626763996,0.11533809355764887,0.11460756778523151,0.11549846721927162,0.00089089943404011,0.5201741090540892,0.3404263091344015,0.0010215489313229434,0.3405079055040079,0.33783818631964485,0.3423344832224339,0.34006075254412466,0.3407918657246783,0.3399263500545461,0.34120387518056783,0.0012775251260217502,0.30007931347034417,4.5697963233338665,0.14682629802682295,4.6088306999299675,4.248305400134996,4.92109419987537,4.5172552073638785,4.6223374393038545,4.580194074951578,4.629373725038022,0.04917965008644387,3.2129724748806034,53.25029532407805,2.6847138197483953,52.71800515542202,50.27008599084729,59.051702648284234,52.28958282199031,54.2110078261658,50.894086220804866,53.97492668546768,3.0808404646628134,5.041688132261784,0.07136864915838734,0.009002028717847657,0.07346993751995207,0.04167260177938886,0.08614800971799219,0.06814731455289869,0.07458998376387599,0.06870609564200585,0.07688280703555922,0.008176711393553374,12.613421753114023,42.85332802471227,7.20815075411166,41.17077359584343,31.0191223915097,66.63169988045576,40.27392440430805,45.43273164511649,38.43800315668288,44.985301576287036,6.547298419604154,16.82051566672938,0.15214173633125422,0.0024773328276252835,0.15241033260141135,0.14679803817238943,0.15506713179113374,0.1512552341641238,0.15302823849838465,0.15117452298973422,0.15420768773022703,0.003033164740492811,1.6283058727760615,0.11293512004625503,0.0005476800142564739,0.11295589984093496,0.11207021189595243,0.11409366117931713,0.11273913527016105,0.113131104822349,0.11250033948193128,0.11324351843543908,0.0007431789535077976,0.48495101792264417,0.4078108571306557,0.009192008162741452,0.4092286983624025,0.3771844464471144,0.4230170464837483,0.4045215392539123,0.41110017500739904,0.4057108770555519,0.41394961438650807,0.008238737330956147,2.253988093258755,0.3364422079722684,0.0007958824638031592,0.3366310402340238,0.3346709098477897,0.33799890451984366,0.33615740509028386,0.336727010854253,0.33576039307617317,0.33694246182138093,0.001182068745207765,0.23655844746707896
5Grocery-rand,biasedMF,0.05_count,30,100.0,0.22619609534740448,0.2754760770180228,0.11309804767370224,0.15783644300728306,0.45077226310809587,0.3648427341006056,0.13864667062495395,0.7028778042577,0.4274017272396772,0.10897974199066587,0.0031106727002799973,0.10964118665435225,0.10165778335340789,0.11275648315333409,0.10786660206078609,0.11009288192054566,0.10769123790549812,0.11168272710675067,0.003991489201252557,2.854358657360766,0.14230971589149596,0.000551419119405146,0.14235984075121932,0.14114002898151365,0.14373095710132053,0.14211239309380858,0.14250703868918335,0.14195618888533093,0.14259902758279197,0.00064283869746104,0.38747819567398717,0.4398473408526479,0.001107854283665284,0.439772261119045,0.43721040921932436,0.4424819054712821,0.4394509002886743,0.44024378141662146,0.4392559105568947,0.4404477595023574,0.0011918489454627035,0.2518724522734863,3.6306304700129357,0.09458741519444062,3.627041299943812,3.424843200016767,3.954022099962458,3.5967827981869758,3.6644781418388956,3.606290274998173,3.648219700087793,0.041929425089620054,2.6052614270629317,51.820679387374604,1.3752106089640734,51.5282584847633,50.15100372083946,55.057675422170206,51.328566591099246,52.31279218364996,50.62570512756989,52.39031967368846,1.7646145461185725,2.653787301173679,0.19377712503818514,0.010391660438615955,0.19272490222324398,0.17564423946770408,0.2173273831172196,0.190058517107838,0.1974957329685323,0.18836431606677073,0.20244477284115125,0.014080456774380523,5.362686868518772,29.657367298174698,3.7722551268711753,30.039332522281015,21.108436903215686,36.23974852225999,28.307483137415485,31.00725145893391,26.510942426442902,31.622259868886132,5.11131744244323,12.719453783422455,0.24204395461852546,0.003180556496612949,0.24284753484294197,0.23417348132991264,0.2459634674524182,0.24090580709329731,0.2431821021437536,0.240456387596995,0.24454118082257273,0.004084793225577726,1.3140408739502212,0.13306421262785958,0.0004641059715169748,0.13309877032002038,0.13199282452097996,0.13425512267550227,0.1328981344388734,0.13323029081684576,0.13270992994851075,0.13330037669983602,0.0005904467513252742,0.34878346502897745,0.6171850156844629,0.010396017251180665,0.6161942581726791,0.5995812894949238,0.6413719075378116,0.6134648486887624,0.6209051826801635,0.6115548615830527,0.6255279435207496,0.013973081937696863,1.684424765181864,0.4234078906462779,0.0006953136061724302,0.42344669831989856,0.42170518863616874,0.4245900242828225,0.4231590758678058,0.4236567054247499,0.4229535430059209,0.4238682361880035,0.0009146931820825932,0.16421838646207634
5Grocery-rand,biasedMF,sum_0.05,30,100.0,0.19704808294773102,0.23132094658093766,0.09852404147386551,0.15783644300728306,0.45077226310809587,0.3385207482746635,0.14147267024720625,0.6628832613231892,0.43156231474225154,0.09462394303358206,0.003138294949887201,0.0954292376101768,0.08792700323833219,0.0984584215425108,0.09350091860862565,0.09574696745853846,0.09268672222561228,0.09741858308786824,0.0047318608622559655,3.316597099291687,0.14369563271300043,0.000637410492568761,0.14371246891846154,0.14266709251964507,0.1450457829876899,0.14346753829762243,0.14392372712837842,0.1431577264791136,0.14403598839426718,0.0008782619151535831,0.44358376140898065,0.44085385270231703,0.0007992182576598563,0.4409051002923886,0.43919238187075926,0.44235054641203914,0.44056785612183136,0.4411398492828027,0.44046757373459183,0.4412428824032616,0.0007753086686697608,0.18128870889090812,3.608432656689547,0.0959767056531961,3.627682799939066,3.386115400120616,3.8140036000404507,3.5740878336577713,3.6427774797213224,3.5933657501009293,3.6442441250546835,0.050878374953754246,2.6597892986936653,51.979262310975145,1.5926543932526684,51.57058308682437,50.03330148173637,55.377894611816295,51.40933825581227,52.54918636613802,50.561009459955265,52.9623831711175,2.401373711162236,3.064018846062746,0.1582319407698375,0.007856026179486506,0.15747741945613966,0.14148582830201228,0.1734656457148817,0.15542069790594498,0.16104318363373,0.15367554299389524,0.16461882548227857,0.010943282488383332,4.964880125507529,31.596362928389972,3.396158582092667,31.922542344845816,25.01083525776286,38.83570407554625,30.381063187729055,32.81166266905089,28.83531391538744,33.56609279647523,4.73077888108779,10.748574415953268,0.23046157115722418,0.0033611456291714357,0.2308672077779722,0.2234535328966393,0.23464878461107302,0.22925880064085488,0.23166434167359348,0.22792535847782305,0.23343073829449498,0.005505379816671929,1.458440820434403,0.13583762812364214,0.00048768773464888377,0.1358641265165476,0.1347539318836494,0.13693377526138584,0.13566311130909542,0.13601214493818886,0.13555636182089464,0.13604555264622964,0.0004891908253349952,0.35902256347186845,0.5859454901103385,0.007836867254178518,0.5852082623852111,0.5692837207195847,0.6011859908403329,0.5831411031798175,0.5887498770408595,0.581206817594868,0.5917335064348512,0.0105266888399832,1.3374737729789112,0.42771354934050115,0.0005095632084691907,0.4277723343159395,0.4268024337703493,0.4287254099742665,0.4275312044881823,0.42789589419282,0.42726787839218044,0.428055714767528,0.0007878363753475726,0.11913655979683012
5Grocery-rand,biasedMF,max_0.05,30,100.0,0.09046103060245514,0.12980278764851427,0.04523051530122757,0.15783644300728306,0.45077226310809587,0.2429145821349648,0.1524535293640884,0.572851094698663,0.44304830705014875,0.042077688369123165,0.0022219857651595495,0.043065847183549666,0.03810542664404967,0.04494341811103289,0.04128256097478143,0.0428728157634649,0.04020765774575287,0.04392300624278221,0.0037153484970293416,5.280674512504957,0.14752026643320487,0.0005183602602767566,0.14745533382494158,0.14652593045505136,0.14895434928460416,0.14733477359632588,0.14770575927008386,0.14727454411806454,0.14782217828618688,0.0005476341681223407,0.3513824051500496,0.43906856823761153,0.0013325734477165512,0.43909179866746567,0.4364357903614249,0.44184355828009936,0.4385917129535383,0.43954542352168474,0.4382352660937097,0.4399016496742465,0.0016663835805367788,0.3035000781461997,3.02666142671369,0.14978577767640994,2.978026100085117,2.936277800006792,3.6426683000754565,2.9730612745521654,3.0802615788752146,2.9628985999152064,3.006646749970969,0.04374815005576238,4.948877874293505,53.48528743383434,2.4562905710464493,52.39292887032303,50.317371124651864,57.876417734494076,52.6063151415154,54.36425972615327,51.44538377435849,55.55250976251688,4.107125988158387,4.59246026131033,0.06420282225258608,0.008977881593370464,0.06347220514095675,0.04775034859566385,0.07955966240168533,0.06099012858461712,0.06741551592055504,0.056978794685989195,0.07198269296297775,0.015003898276988559,13.983624517392357,50.5381791749825,6.916555303635828,51.101046217258755,38.70727752232834,63.213156311431185,48.06312164642739,53.013236703537615,44.544570831640634,56.10356624984134,11.558995418200709,13.68580233112093,0.1870941086071047,0.002361306155662393,0.18777473526232663,0.18314308744753094,0.19065870076728691,0.18624912605130506,0.18793909116290436,0.1848479407163548,0.18883783200523846,0.003989891288883662,1.262095409225903,0.1450164202379816,0.000476139402891261,0.14500349090147346,0.14401978751115915,0.14631962455396053,0.14484603594088097,0.14518680453508226,0.14477914853753393,0.1452915257685663,0.0005123772310323682,0.3283348203671588,0.4994509811842127,0.00916605856596699,0.499044957253659,0.48393017645538616,0.5162036450608646,0.4961709492514169,0.5027310131170085,0.4919297670047537,0.5072195031946161,0.015289736189862346,1.8352268613496363,0.43524815893162666,0.0011698809434544392,0.4351459715507513,0.4327466645121551,0.4373714366523475,0.4348295224125074,0.43566679545074594,0.4346160973130965,0.43581413291147086,0.0011980355983743363,0.26878481147997607
5Grocery-rand,NCF,0.05_count,30,100.0,0.23504909873008728,0.32206036682592215,0.11752454936504364,0.14507261717762815,0.38864972748782967,0.3601808387183317,0.12513178452403112,0.6833874917989465,0.3613271249730244,0.11411497244080608,0.003178705690628214,0.11521190806624015,0.10653457329903808,0.11751453510729645,0.11297748721799371,0.11525245766361845,0.11203897802435718,0.1168483915093369,0.0048094134849797215,2.785529035006408,0.1280294940267974,0.0007653934360891201,0.12783880002432801,0.12668912083805006,0.1294743970919841,0.12775560150325996,0.12830338655033482,0.1275450226050006,0.12873753380915523,0.001192511204154617,0.5978258696616565,0.3765262418398076,0.0010169908608326974,0.37651663749853737,0.37424978952065585,0.3781514096234861,0.3761623163341079,0.3768901673455073,0.3759586483035659,0.37741913538913696,0.0014604870855710606,0.27009826881213084,3.819795936679778,0.13851539792910203,3.8319560000672936,3.595339999999851,4.076446100138128,3.77022883811483,3.8693630352447257,3.798213300004136,3.8497207000036724,0.051507399999536574,3.62625125072785,51.450580726605075,1.3523581701874121,50.9838971139639,50.004260496126676,54.67560868149748,50.96664557052154,51.93451588268861,50.28766664469673,52.333798074667655,2.0461314299709272,2.628460458733186,0.2404060792755505,0.009977157783460103,0.23973855832019775,0.22212887655366964,0.25830775786954147,0.2368357992153948,0.2439763593357062,0.23281761687943295,0.24920074531840308,0.016383128438970135,4.150127073959893,25.353721215410186,3.0979154255428414,25.560987002856024,19.795235776664132,31.028807194480652,24.245146417665673,26.4622960131547,22.622970415636598,27.70994482370632,5.086974408069722,12.218780033204375,0.23246330618167058,0.0033384747732861882,0.23327631756764128,0.2254295877912617,0.23672082840601427,0.23126864832688993,0.23365796403645123,0.23006656743005455,0.23556596863839238,0.005499401208337834,1.4361297824256027,0.11834833374086452,0.0006812819547545352,0.11843536157934687,0.11707813922109252,0.1197742350062088,0.1181045401243662,0.11859212735736284,0.11775967320763615,0.11896434250272812,0.0012046692950919702,0.5756582566225816,0.5965370150709514,0.00978069171417844,0.5955771734343109,0.5787466091167474,0.613827019917103,0.5930370394907766,0.6000369906511261,0.5885982470420552,0.6044666047582996,0.015868357716244397,1.6395783441896117,0.3561309357954007,0.0008409107839676543,0.35601089791730006,0.3548788641190994,0.3581098127123149,0.3558300197359848,0.35643185185481663,0.35549812061062036,0.3567263034395637,0.001228182828943325,0.23612404861417668
